2024-07-09 10:51:08 - HV000001: Hibernate Validator 8.0.1.Final
2024-07-09 10:51:10 - Adding type registration ZonedDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@1f05157d
2024-07-09 10:51:10 - Adding type registration ZonedDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@7584f91
2024-07-09 10:51:10 - Adding type registration date -> org.hibernate.type.BasicTypeReference@2fbacce8
2024-07-09 10:51:10 - Adding type registration java.sql.Date -> org.hibernate.type.BasicTypeReference@2fbacce8
2024-07-09 10:51:10 - Adding type registration time -> org.hibernate.type.BasicTypeReference@6f85baaa
2024-07-09 10:51:10 - Adding type registration java.sql.Time -> org.hibernate.type.BasicTypeReference@6f85baaa
2024-07-09 10:51:10 - Adding type registration timestamp -> org.hibernate.type.BasicTypeReference@589ce4da
2024-07-09 10:51:10 - Adding type registration java.sql.Timestamp -> org.hibernate.type.BasicTypeReference@589ce4da
2024-07-09 10:51:10 - Adding type registration java.util.Date -> org.hibernate.type.BasicTypeReference@589ce4da
2024-07-09 10:51:10 - Adding type registration calendar -> org.hibernate.type.BasicTypeReference@1d7d1c9f
2024-07-09 10:51:10 - Adding type registration java.util.Calendar -> org.hibernate.type.BasicTypeReference@1d7d1c9f
2024-07-09 10:51:10 - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.BasicTypeReference@1d7d1c9f
2024-07-09 10:51:10 - Adding type registration calendar_date -> org.hibernate.type.BasicTypeReference@64594e54
2024-07-09 10:51:10 - Adding type registration calendar_time -> org.hibernate.type.BasicTypeReference@264be89f
2024-07-09 10:51:10 - Adding type registration instant -> org.hibernate.type.BasicTypeReference@19ce72b8
2024-07-09 10:51:10 - Adding type registration java.time.Instant -> org.hibernate.type.BasicTypeReference@19ce72b8
2024-07-09 10:51:10 - Adding type registration uuid -> org.hibernate.type.BasicTypeReference@6ca21cfa
2024-07-09 10:51:10 - Adding type registration java.util.UUID -> org.hibernate.type.BasicTypeReference@6ca21cfa
